B1	B2	B3	N_l1	N_l2	N_l3	N_t	C_l1	C_l2	C_l3	C_t	Diff(C_t - N_t)	LessThanZero
1	4	4	125566	163932	104859	1945	128539	149018	32547	3954	2009	no
1	4	4	126327	161208	43339	1417	127822	140301	23089	2968	1551	no
1	4	4	125479	159226	18795	1671	128047	145650	38994	3633	1962	no
1	4	4	125529	160327	39696	1498	127897	144251	20651	3117	1619	no
1	4	4	125524	158713	104334	1657	128076	138609	729	3459	1802	no
1	4	8	125560	164671	16694	1421	125093	145665	6162	1978	557	no
1	4	8	125603	157620	43810	1703	125013	139287	29219	2405	702	no
1	4	8	125596	157109	18045	1448	125031	138964	7621	2055	607	no
1	4	8	125431	156674	31836	1613	125162	141227	31309	2432	819	no
1	4	8	125644	157847	42219	1517	125099	139152	23306	2163	646	no
1	4	8	125445	160744	104047	1607	125081	141003	465	2300	693	no
1	4	8	125567	163229	17309	1454	125091	144887	7946	2106	652	no
1	4	8	125436	156759	104263	1902	125102	137863	5950	2724	822	no
1	4	8	125573	157957	17003	1464	125014	139840	6846	2062	598	no
1	4	8	125557	161204	104421	2046	125087	141510	29906	2833	787	no
1	4	16	125614	155454	17474	1441	125109	138983	7597	1711	270	no
1	4	16	125514	160971	104401	1865	125157	143820	16385	2181	316	no
1	4	16	125624	160973	17174	1467	125101	143515	8397	1795	328	no
1	4	16	125360	164166	104408	1880	125183	145695	14250	2188	308	no
1	4	16	125522	158524	17588	1430	125389	143079	8431	1743	313	no
1	4	16	126095	160025	19391	1363	125553	143093	6806	1645	282	no
1	4	16	125499	157252	104017	1614	125120	138877	14364	1855	241	no
1	4	16	125552	154997	18590	1438	125049	138791	7360	1706	268	no
1	4	16	125492	160009	103740	1602	125175	143003	794	1817	215	no
1	4	16	125557	154968	16132	1380	125095	138497	7002	1794	414	no
1	4	32	125474	156631	63747	1731	125159	145405	38457	1889	158	no
1	4	32	125607	158331	16909	1409	125077	145950	6239	1641	232	no
1	4	32	125576	156003	104284	1733	125130	145213	34727	1898	165	no
1	4	32	125584	155816	15532	1452	125048	144719	5283	1622	170	no
1	4	32	125492	159361	104212	1730	125215	145757	516	1833	103	no
1	4	32	125611	155432	16875	1471	125143	143887	7373	1579	108	no
1	4	32	125483	158835	104043	1729	125173	145772	15601	1857	128	no
1	4	32	125622	160186	17567	1513	125165	148345	6401	1622	109	no
1	4	32	125481	161732	104191	1650	126349	155448	997	1744	94	no
1	4	32	126007	154506	21806	1323	126617	151671	8387	1578	255	no
1	4	64	125573	159833	104437	1883	126491	150883	8762	1820	-63	yes
1	4	64	125591	161350	16121	1480	125567	159583	4578	1516	36	no
